# Runtime
# 2026-09-17 d0db7b3e bun bend2/docs/gen_pins.ts runtime

| bench        | SEQ-CPU         | PAR-CPU         | PAR-GPU         | C        | TS       | Lean     |
|--------------|-----------------|-----------------|-----------------|----------|----------|----------|
| bfs          |   3.918s   2.0M |   0.343s   2.7M |   0.207s  16.8M |   3.585s |   6.534s |   9.274s |
| editdist     |   2.559s   2.0M |   0.236s   3.1M |   0.144s  16.8M |   2.002s |   5.290s |   4.799s |
| gameoflife   |   7.803s   2.1M |   0.647s   2.7M |   0.063s  16.7M |   6.776s |  18.754s |  13.849s |
| hashmap      |   2.741s   2.4M |   0.238s   9.0M |   0.521s  16.8M |   0.622s |   0.892s |   1.526s |
| kmeans       |   2.069s  23.5M |   0.268s  24.1M |   0.191s  17.1M |   2.062s |  17.455s |   5.686s |
| lexer        |   2.144s   2.0M |   0.198s   3.0M |   1.075s  16.9M |   1.036s |   3.543s |   4.487s |
| mandelbrot   |   4.473s   2.3M |   0.395s   2.9M |   0.057s  16.9M |   3.750s |   3.837s |   4.575s |
| merkle       |   4.222s   130M |   0.422s   131M |   0.071s  17.5M |   3.423s |   7.227s |   5.986s |
| nbody        |   5.758s   2.2M |   0.516s   2.7M |   0.059s  16.8M |   5.126s |   5.332s |   5.387s |
| queens       |   5.406s   2.0M |   0.455s   2.5M |   0.933s  16.8M |   3.599s |   6.979s |   7.704s |
| raytrace     |   4.616s   2.1M |   0.396s   2.6M |   0.151s  17.0M |   3.646s |  23.039s |  10.825s |
| symreg       |   3.014s   2.1M |   0.266s   3.1M |   0.529s  17.1M |   2.208s |   5.924s |   2.457s |
| terrain      |   2.225s   2.1M |   0.197s   3.3M |   0.106s  16.9M |   2.198s |   5.746s |   8.039s |
| tree-bitonic |   6.043s   146M |   0.799s   156M |   0.450s  17.0M |   5.719s |  33.910s |  38.123s |
| tree-matmul  |   2.064s   2.8M |   0.226s  14.8M |   0.231s  17.3M |   2.964s |  11.379s |   7.758s |
| tree-radix   |   4.083s   651M |   0.445s   617M |   0.314s  17.0M |   2.791s |   6.244s |   6.500s |
